Ven.08,"01h01
07h55
13h32
20h12","5,31m
2,34m
4,98m
2,79m","48
 
44
 ",mai
Sam.09,"01h48
08h46
14h31
21h16","5,04m
2,56m
4,76m
2,98m","40
 
37
 ",mai
Dim.10,"02h55
09h55
15h54
22h39","4,83m
2,68m
4,70m
2,99m","35
 
35
 ",mai
Lun.11,"04h20
11h15
17h18
23h59","4,81m
2,60m
4,86m
2,76m","36
 
40
 ",mai
Mar.12,"05h37
12h26
18h22","5,02m
2,33m
5,19m","45
 
51",mai
Mer.13,"01h01
06h37
13h24
19h12","2,39m
5,36m
1,97m
5,56m"," 
57
 
64",mai
Jeu.14,"01h54
07h29
14h16
19h59","1,99m
5,73m
1,62m
5,92m"," 
70
 
77",mai
Ven.15,"02h43
08h18
15h04
20h44","1,61m
6,05m
1,33m
6,22m"," 
83
 
88",mai
Sam.16,"03h32
09h07
15h52
21h29","1,30m
6,29m
1,14m
6,42m"," 
92
 
96",mai
Dim.17,"04h19
09h55
16h39
22h14","1,07m
6,43m
1,07m
6,53m"," 
98
 
99",mai
Lun.18,"05h07
10h44
17h26
22h59","0,96m
6,44m
1,13m
6,53m"," 
99
 
97",mai
Mar.19,"05h55
11h32
18h13
23h45","0,97m
6,32m
1,32m
6,40m"," 
95
 
91",mai
Mer.20,"06h44
12h22
19h02","1,12m
6,09m
1,60m"," 
87
 ",mai
Jeu.21,"00h33
07h35
13h14
19h55","6,17m
1,37m
5,78m
1,93m","81
 
76",mai
Ven.22,"01h25
08h30
14h12
20h53","5,85m
1,69m
5,46m
2,25m","70
 
64
 ",mai
Sam.23,"02h24
09h31
15h19
22h00","5,53m
1,98m
5,21m
2,47m","59
 
55
 ",mai
Dim.24,"03h33
10h40
16h30
23h13","5,29m
2,16m
5,11m
2,53m","52
 
51
 ",mai
Lun.25,"04h44
11h49
17h37","5,19m
2,21m
5,16m","50
 
51",mai
Mar.26,"00h20
05h51
12h50
18h36","2,44m
5,23m
2,15m
5,32m"," 
53
 
55",mai
Mer.27,"01h19
06h50
13h44
19h25","2,28m
5,35m
2,05m
5,51m"," 
57
 
60",mai
Jeu.28,"02h10
07h42
14h30
20h09","2,10m
5,49m
1,95m
5,68m"," 
62
 
65",mai
Ven.29,"02h54
08h27
15h12
20h49","1,95m
5,61m
1,88m
5,81m"," 
67
 
68",mai
Sam.30,"03h34
09h08
15h50
21h25","1,83m
5,69m
1,84m
5,89m"," 
70
 
70",mai
Dim.31,"04h11
09h46
16h25
21h59","1,74m
5,73m
1,84m
5,93m"," 
71
 
71",mai
Lun.01,"04h46
10h21
16h59
22h32","1,68m
5,74m
1,87m
5,94m"," 
71
 
71",juin
Mar.02,"05h20
10h54
17h32
23h04","1,67m
5,71m
1,94m
5,91m"," 
70
 
69",juin
Mer.03,"05h54
11h27
18h06
23h37","1,71m
5,65m
2,05m
5,83m"," 
68
 
66",juin
Jeu.04,"06h28
12h02
18h40","1,79m
5,56m
2,18m"," 
64
 ",juin
Ven.05,"00h13
07h04
12h40
19h18","5,71m
1,91m
5,43m
2,33m","62
 
59
 ",
Sam.06,"00h53
07h43
13h22
20h01","5,55m
2,05m
5,28m
2,47m","57
 
54
 ",
Dim.07,"01h37
08h29
14h10
20h53","5,38m
2,18m
5,14m
2,59m","52
 
50
 ",
Lun.08,"02h28
09h21
15h06
21h53","5,23m
2,29m
5,06m
2,64m","48
 
47
 ",
Mar.09,"03h27
10h22
16h10
23h00","5,15m
2,32m
5,08m
2,59m","47
 
47
 ",
Mer.10,"04h32
11h28
17h17","5,18m
2,25m
5,22m","49
 
52",
Jeu.11,"00h07
05h40
12h34
18h21","2,41m
5,33m
2,09m
5,47m"," 
55
 
60",
Ven.12,"01h10
06h45
13h36
19h19","2,13m
5,55m
1,86m
5,75m"," 
64
 
69",
Sam.13,"02h09
07h47
14h34
20h14","1,80m
5,81m
1,64m
6,03m"," 
74
 
79",
Dim.14,"03h06
08h45
15h29
21h07","1,49m
6,04m
1,45m
6,26m"," 
83
 
87",
Lun.15,"04h01
09h41
16h23
21h58","1,23m
6,20m
1,34m
6,42m"," 
90
 
93",
Mar.16,"04h56
10h35
17h16
22h49","1,05m
6,28m
1,31m
6,49m"," 
94
 
95",
Mer.17,"05h48
11h28
18h07
23h40","0,97m
6,27m
1,36m
6,45m"," 
94
 
93",
Jeu.18,"06h39
12h19
18h57","1,01m
6,16m
1,49m"," 
90
 ",
Ven.19,"00h29
07h29
13h09
19h47","6,32m
1,16m
5,97m
1,69m","87
 
83
 ",
Sam.20,"01h18
08h17
13h57
20h36","6,10m
1,42m
5,73m
1,94m","79
 
74
 ",
Dim.21,"02h07
09h06
14h46
21h27","5,81m
1,73m
5,48m
2,20m","69
 
64
 ",
Lun.22,"02h57
09h56
15h37
22h22","5,52m
2,04m
5,27m
2,42m","59
 
55
 ",
Mar.23,"03h51
10h51
16h34
23h23","5,26m
2,29m
5,14m
2,54m","51
 
48
 ",
Mer.24,"04h52
11h52
17h37","5,08m
2,44m
5,12m","47
 
46",
Jeu.25,"00h27
06h00
12h54
18h40","2,55m
5,02m
2,47m
5,20m"," 
46
 
47",
